text,GPT-4o,Gemini-1.5-Pro,Claude-3.5-Sonnet
部屋を軽く香り付けして寝る,2,2,2
ベッドで短いメディテーションを行う,2,2,2
週末だけカフェイン入りの飲み物を夜に楽しむ,1,1,0
夜のコーヒーをデカフェに切り替えてから飲む,2,1,0
寝る前に自然音の環境音楽を静かに聴く,2,0,0
少量のワインを夕食時に楽しむ,1,0,0
ヨガを取り入れる,2,1,0
寝る1時間前にホットミルクを飲む,2,0,0
昼寝は20分以内に抑える,2,1,0
寝室を暗くする,2,0,0
遮光カーテンを使用する,2,1,1
アロマキャンドルを焚く,2,1,1
リラックス音楽を聴く,2,2,2
足を温める,2,2,1
寝る前に軽いジャーナリングをする,2,0,1
軽いエクササイズを昼間に取り入れる,2,2,2
朝食をしっかり食べる,2,1,1
息を整える呼吸法を練習する,2,2,2
ビタミンDを摂取する,2,1,1
枕の高さを調整する,2,1,1
ポジティブシンキングを心掛ける,2,2,1
寝る前に軽い散歩をする,2,2,1
ハーブティーを飲む,2,1,1
自分に合った就寝ルーティンを見つける,2,0,1
晩ご飯は軽めにする,2,2,2
寝る前に楽しいことを考える,2,2,2
リラクゼーションアプリを利用する,2,1,0
寝る前の散歩で自然の音を聞く,2,2,2
感謝の気持ちを書く,2,2,2
ホットタオルで首を温める,2,2,2
デジタルデトックスをする,2,2,2
朝陽を浴びる,2,2,2
笑顔を作る,2,2,2
感謝日記をつける,2,2,2
午前中にアウトドア活動をする,2,2,2
朝から自分の好きなことをすると決めておく,2,2,2
毎晩同じ時間に寝ることを習慣化する,2,2,2
日光をたっぷりと浴びる,2,2,2
快適な寝具を選び良い枕を使う,2,2,2
寝室を落ち着いた色彩で統一する,2,2,2
ヒーリング音楽でリラクセーションする,2,2,2
リビングで眠る,0,0,0
寝る前にスナック菓子を食べる,0,0,0
寝る前に緊張するようなテレビを見る,0,0,0
ベッドで仕事のメールを追い続ける,0,0,0
果物を寝る前に食べる,1,0,0
寝る前に激しい運動をする,0,0,0
寝室に時計を置く,1,0,1
枕を硬すぎるか柔らかすぎるものにする,0,0,0
寝る前に心配事を考える,0,0,0
寝る前にビデオゲームのレベルを上げる,0,0,0
ワインを大量に飲む,0,0,0
寝室を掃除しない,0,0,0
SNSでネガティブなコメントを読む,0,2,2
ベッドの上で食べ物を食べる,0,2,2
新しいアプリのゲームを寝る前に試す,0,2,2
ベッドで面白い動画を見続ける,0,2,2
眠る前にエナジードリンクを飲む,0,2,2
眠くなるまでネットサーフィンする,0,2,2
寝る直前までパソコンで作業する,0,2,2
毎晩違う時間に寝る,0,2,2
寝室でテレビを見続ける,0,2,2
深夜に重いアルコールを飲む,0,2,2
カフェイン入りの飲料を夜遅くに飲む,0,2,2
寝る直前にスナックを食べる,0,2,2
明るい照明の下で読書をする,1,2,2
寝る前にショッピングサイトを閲覧する,0,0,0
友人との夜更かしを頻繁に行う,0,0,0
夕方に長時間の昼寝をする,1,0,0
寝室を物でいっぱいにする,1,0,0
夜中に音楽を大音量で聴く,0,0,0
1日中外に出ることを計画に組み入れる日に夜更かしする,1,0,0
夜に静かなカフェで短時間作業を行う,1,0,1
24時間ジムに夜訪問するが、軽めの運動のみに留める,1,0,0
寝る前に1時間だけ映画マラソンを行う,1,0,0
リズム感のある音楽を寝る前に少しだけ聴く,1,0,0
寝る前には1章だけ小説を読む,1,0,0
軽いおつまみでアルコールを控えめに楽しむ,1,0,0
SNSを使うのは寝る1時間前までに制限する,2,2,1
軽い森の中を歩き、体をリラックスさせる,2,2,2
一杯だけの緑茶を夕方に飲む,1,1,1
スマートスピーカーを使って寝る前のルーチンを調整する,2,2,1
夜に短時間のミーティングを予定に組み入れる,1,0,1
寝る時間には明日の楽しい計画を心に留める,2,1,2
早朝の公園を少しだけジョギングする,2,1,2
軽く目を閉じて、深呼吸し、心を落ち着ける,2,2,2
寝る直前に軽く水分補給を行う,2,1,1
朝に楽しい予定を短時間で立てる,2,1,2
寝る前にドラマの最終エピソードを一気に見る,0,0,0
布団に入ってから少しだけ電子書籍を読む,1,1,1
夜遅くに長めのシャワーを浴びてリフレッシュする,1,1,1
スマホで短い動画を夜更かししながら見る,0,0,0
寝る前に少量のお酒で一日を締めくくる,1,0,1
寝る前にメールをチェックして返信する,1,0,0
クローゼットにある服を少し片付けてから寝る,1,1,1
リビングで少し寝てからベッドに移動する,1,0,0
寝る直前に気になるニュースを少し読む,1,0,1
就寝前に軽いテレビ番組を見る,1,1,1
夜に少量のアルコールを飲む,1,0,1
寝る2時間前に軽い食事をとる,1,0,1
夕方に30分程度の運動をする,2,2,2
寝室でリラックス音楽を聴く,2,2,2
朝の散歩を積極的に行う,2,2,2
エプソムソルトを使った入浴を行う,2,2,2
寝る前に日記をつける,2,2,2
部屋を整理整頓してから寝る,2,2,2
寝る前に温かいスープを飲む,2,0,2
寝る前に楽しいことを考える,2,2,2
快眠アプリを利用する,2,2,1
夕食を寝る3時間前までに済ませる,2,2,2
寝る前にチャンツやマントラを唱える,2,1,2
自然の音を聞く,2,2,2
部屋を香り豊かなアロマで満たす,2,2,2
手足をマッサージしてリラックスする,2,2,2
ストレスを解消するための軽い読書をする,2,1,2
寝る前に少量のダークチョコレートを食べる,1,0,1
自分に合ったピロートップを選ぶ,2,2,2
就寝前の深呼吸を取り入れる,2,2,2
眠りを促すハーブティーを楽しむ,2,1,2
涼しい風を取り入れるため窓を少し開ける,2,1,2
友達と楽しい時間を過ごす,2,2,1
スマートフォンを寝る1時間前にはオフにする,2,2,2
寝室の照明を調整する,2,2,2
スリープモードを活用する,2,2,2
温かいパジャマを選ぶ,2,2,2
寝る前に香り高いキャンドルを楽しむ,2,1,2
経絡マッサージを試す,2,2,2
朝のルーティンを決めて実行する,2,2,2
バランスの取れた夕食を楽しむ,2,2,2
穏やかな声で朗読を聞く,2,2,2
瞑想アプリでリラックス,2,2,2
寝る前に温かいシャワーを浴びる,2,2,2
スマホの通知をオンのまま寝る,0,0,0
ネガティブな内容のメールを寝る前に確認する,0,0,0
深夜に重い食事を摂る,0,0,0
ベッドで映画マラソンをする,0,0,0
寝る前にオンラインショッピングで購買欲を満たす,0,0,0
寝る直前に脂っこい食べ物を食べる,0,0,0
寝室にテレビを置く,0,0,0
眠る直前にカフェインの入った飲み物を飲む,0,0,0
SNSで他人のネガティブな投稿を見る,0,0,0
ビデオゲームを長時間プレイする,0,0,0
ストレスの多い会話を夜遅くにする,0,0,0
寝る前に高エネルギーな音楽を聴く,0,0,0
条件が悪い環境で仕事を続ける,0,0,0
夕食を遅い時間に摂る,0,1,0
寝室でクローゼットを開けっぱなしにする,0,0,1
寝室の窓を閉め切って換気をしない,0,0,0
寝室で電話を長時間話す,0,0,0
電子デバイスを寝る直前まで使用する,0,0,0
寝る前に映画の予告編をチェックする,0,0,0
就寝前にエナジードリンクを飲む,0,0,0
負の感情を抱えたまま眠る,0,0,0
寝る前にポップコーンを食べながら映画を見る,0,1,0
深夜におしゃべりを続ける,0,0,0
ベッドでオンラインゲームをする,0,0,0
刺激的なテレビ番組を寝る直前に見る,0,0,0
夜遅くに食べ過ぎる,0,0,0
寝室の明るさを調整せずに寝る,0,1,0
深夜にバタバタと家事をする,0,0,0
ベッドで旅の動画を延々と見る,0,0,0
寝る直前にカフェインを摂取する,0,0,0
朝方に友達と長電話する,0,0,0
忙しいときに夜更かしをする,0,0,0
寝る前にストレスを増すようなプロジェクトを考える,0,0,0
寝室に明かりのついた携帯を置く,0,0,0
寝る前に辛い食べ物を食べる,0,0,0
ポップカルチャーの動画を延々と視聴する,0,0,0
寝る前に興奮するような動画を見続ける,0,0,0
日中にいるべき場所でないところにいる,0,1,0
寝室で仕事の電話をする,0,0,0
就寝直前までSNSで会話する,0,0,0
寝る前に辛い食べ物を食べる,0,0,0
夜9時以降の入浴,1,1,1
就寝前の短時間のSNSチェック,1,1,1
昼寝を30分程度とる,2,2,2
寝る前に短い電話をする,1,1,1
就寝1時間前に軽いストレッチ,2,2,2
夕方以降の緑茶摂取,0,1,1
寝室でペットと過ごす,1,1,1
寝る前の短時間の読書,2,2,2
夕方のカフェオレ,0,0,1
就寝前の短い散歩,2,2,2
夜のシャワー,2,1,1
夕食後のデザート,1,1,1
寝室での穏やかな会話,2,2,1
就寝前の簡単な家事,1,1,1
夜の軽いヨガ,2,2,2
夜の温かい飲み物,2,2,2
就寝2時間前のストレッチ,2,2,2
夕方のウォーキング,2,2,2
寝室での静かな音楽鑑賞,2,2,2
夜のハーブティー,2,2,2
寝る前の軽い日記書き,2,2,2
夕食後の短時間の家族団らん,2,2,1
寝室での穏やかな瞑想,2,2,2
夕方以降の軽い庭仕事,2,1,1
就寝前の短時間の整理整頓,2,2,1
夜の軽いマッサージ,2,2,2
寝る前の簡単な計画立て,2,2,1
夕方のストレッチ体操,2,2,2
就寝前の短い通話,1,1,1
夜の軽い読書,2,2,2
夕食後の短い散歩,2,2,1
寝室でのアロマディフューザー使用,2,2,1
就寝前の簡単な振り返り,2,2,2
夜のリラックスヨガ,2,2,1
夕方以降の軽い家事,1,1,2
就寝前の短時間のテレビ視聴,1,1,1
寝る前の簡単なマインドフルネス,2,2,1
快適な睡眠環境を整える,2,2,1
軽いエクササイズを夕方に行う,2,2,1
緑茶を寝る前に飲む,0,0,2
リラックスできる音楽を選んで聴く,2,2,2
朝早く起きて日光を感じる,2,2,2
ゆったりとした夜のルーティンを作る,2,2,2
アロマディフューザーで香りを部屋に広げる,2,2,2
軽い捕捉的な散歩を昼休みに取り入れる,2,2,2
ジャズやクラシック音楽で心を落ち着かせる,2,2,2
心地よい毛布と一緒に過ごす,2,2,1
温かいカモミールティーを楽しむ,2,2,2
夕食後に軽い散歩をする習慣をつける,2,2,1
寝る前に感謝の気持ちを思い返す,2,2,1
読書灯で落ち着いた光を演出する,2,2,2
明日への楽しい計画を立てる,2,1,1
寝室の湿度を50-60%に保つ,2,2,2
寝る前にマグネシウムを摂取する,2,2,1
寝具は季節に合わせて選ぶ,2,2,2
頭寒足熱を意識する,2,2,2
就寝前のセルフマッサージを行う,2,2,2
規則正しい食事時間を守る,2,2,2
就寝前の冷たい飲み物を避ける,2,2,2
寝室に電子機器を置かない,2,2,2
布団を定期的に干す,2,2,2
寝る前の歯磨きを習慣化する,2,2,2
寝る前にリラックスできるハーブティーを楽しむ,2,2,2
穏やかなヨガポーズで眠りに備える,2,2,2
寝室に心地よい音楽を流す,2,1,1
マインドフルネスを行う,2,2,2
リラックスできるバスタイムを楽しむ,2,2,2
ソフトで肌触りの良いパジャマを着る,2,2,2
心のリセットのために自然音を聴く,2,2,2
ニュートラルな香りの枕スプレーを使う,2,1,1
寝る前にホットストーンを使ったリラックスを試す,2,1,1
ストレッチや軽いマッサージで筋肉をほぐす,2,2,2
パートナーと穏やかな会話で一日を振り返る,2,1,2
落ち着いた色合いの寝具を使用する,2,2,2
寝る前に心を穏やかにするアファメーションを唱える,2,1,2
ラベンダーやカモミールの香りで寝室を満たす,2,1,2
ふわふわの肌触りの良いパジャマを着る,2,1,2
静かな環境で波の音や小鳥のさえずりなど自然の音を聴く,2,2,2
寝室にペットを入れる,0,0,0
夜中に明るい場所で過ごす,0,0,0
寝る前に議論をする,0,0,0
就寝前に重要な決定をする,0,0,0
夜更かしして動画を見続ける,0,0,0
寝室を片付けずに放置する,0,0,0
寝る前に多量の水分を摂取する,0,1,0
寝る直前に強い運動をする,0,0,0
夜遅くにエナジードリンクを飲む,0,0,0
寝室で電子メールをチェックし続ける,0,0,0
スマホでニュースを延々と調べる,0,0,0
ベッドでスナックを食べる,0,1,0
夜遅くに熱い料理を食べる,0,1,0
寝る前に戦争映画を見る,0,0,0
就寝前に激しいカフェインを摂取する,0,0,0
ビデオ会議を夜遅くまで行う,0,0,0
テレビをつけたままで寝る,0,0,0
仕事の締切に追われながらベッドに入る,0,0,0
ベッドの中でパズルゲームをする,0,0,0
明日の嫌な予定を考え込む,0,0,0
寝る前に友達と長電話で愚痴を言う,0,0,0
ホラー映画やアクション映画など刺激の強い映像を見る,0,0,0
寝る直前までSNSで友人と熱い議論を交わす,0,0,0
明日のプレゼンテーションの不安で頭がいっぱいになる,0,0,0
寝る前にゲームで高得点を目指し熱中してしまう,0,0,0
怖い話を聞いたり読んだりする,0,0,0
就寝前にラーメンや揚げ物など消化の悪いものを食べる,0,0,0
大量のアルコールを摂取して眠りにつく,0,0,0
寝る直前まで激しい運動をして交感神経を優位にする,0,0,0
部屋の換気をせずに布団をかぶって寝る,0,0,0
室温が低すぎるまたは高すぎる状態で寝る,0,0,0
部屋の時計が気になってしまい何度も確認してしまう,1,0,0
外の騒音や光が気になって眠れない,0,0,0
パートナーのいびきや寝言がうるさい,0,0,0
ベッドのマットレスが体に合わず寝心地が悪い,0,0,0
寝室で仕事用のデスクを設置する,0,0,0
就寝前に激しいデバッグ作業をする,0,0,0
寝る直前まで掃除機をかける,0,0,0
夜中にオンラインミーティングを行う,0,0,0
夜の軽いストレッチ,2,2,2
夕食後の短時間の休憩,2,2,1
就寝前の簡単な身支度,2,2,2
寝室での静かな音楽,2,2,1
夜の軽いボディケア,2,2,2
夕方以降の軽い運動,2,2,1
就寝前の短時間の会話,2,2,1
22時以降のテレビ視聴,1,1,0
就寝1時間前までのSNS利用,1,1,0
夜10時以降の食事,0,0,0
寝る前の長めのスマートフォン操作,1,0,0
夕方以降の複数回のコーヒー摂取,0,0,0
夜遅くまでの仕事,0,0,0
就寝直前の感動的な映画鑑賞,1,0,0
夜の長時間のオンラインゲーム,0,0,0
寝室での仕事メールチェック,0,0,0
深夜のSNSでの議論,0,0,0
夜遅くの熱いシャワー,1,0,0
就寝前の重要な決定事項の検討,1,0,0
夜の過度な情報収集,0,0,0
寝る前の興奮する動画視聴,1,0,0
夕食後の大量の甘い物摂取,0,0,0
就寝前の長時間の電話,1,0,0
夜遅くの激しい筋トレ,0,0,0
寝室での仕事関連の書類整理,0,0,0
深夜のオンラインショッピング,1,0,0
就寝前の複雑なゲームプレイ,0,0,0
夜の長時間のSNSチェック,0,0,0
寝る直前までの勉強,0,0,0
夜遅くの掃除機がけ,0,0,0
就寝前の重要な会話,1,0,0
深夜のニュースチェック,1,0,0
夜の長時間のビデオ通話,0,0,0
寝室でのプロジェクト作業,0,0,0
就寝前に温めたハーブティーで身体を温める,2,2,2
自分の好きな香りのアロマオイルでマッサージをする,2,2,2
毎晩同じ時間にベッドに入り朝は決まった時間に起きることを習慣化する,2,2,2
朝起きたらカーテンを開け太陽の光を浴びて体内時計をリセットする,2,2,2
休日でも平日と同じ時間に起床する,2,2,2
軽いストレッチやヨガで身体をほぐしてからベッドに入る,2,2,2
就寝前の1時間はデジタルデトックスを行いリラックスする時間を作る,2,2,2
トリプトファンを多く含む牛乳やバナナを寝る前に摂取する,2,2,2
マグネシウムを多く含むアーモンドなどのナッツ類を間食に取り入れる,2,2,2
就寝前の2時間は食事を避け消化器官を休ませる,2,2,2
腸内環境を整えるために発酵食品や食物繊維を積極的に摂取する,2,2,2
水分不足にならないように日中はこまめな水分補給を心掛ける,2,2,2
就寝前にラベンダーの香りを楽しむ,2,2,2
寝室に加湿器を設置する,2,2,2
竹炭で空気を清浄に保つ,2,2,2
足裏マッサージを行う,2,2,2
バイノーラルビートを聴く,2,2,1
就寝前に腹式呼吸を実践する,2,2,2
寝室にピンクソルトランプを置く,2,1,1
快適な室内スリッパを用意する,2,1,1
寝室の空気を定期的に入れ替える,2,2,2
マインドフルネスを実践する,2,2,2
就寝前にホラーゲームをプレイする,0,2,0
寝室で洗濯物を干す,1,0,0
夜中に重要な意思決定を行う,0,0,0
寝る直前まで家計簿をつける,0,0,0
就寝前に口論する,0,0,0
深夜にSNSで政治的議論を行う,0,0,0
就寝前の激しいストレッチ,0,0,0
夜遅くの重い食事,0,0,0
深夜のペットの遊び相手,1,0,0
