text,GPT-4o,Gemini-1.5-Pro,Claude-3.5-Sonnet
軽い 森 中 歩き 体 リラックス さ せる,2,2,2
一杯 緑茶 夕方 飲む,1,1,1
スマートスピーカー 使っ 寝る 前 ルーチン 調整 する,2,2,1
夜 短時間 ミーティング 予定 組み入れる,1,0,1
寝る時間 明日 楽しい 計画 心 留める,2,1,2
早朝 公園 ジョギング する,2,1,2
軽く 目 閉じ 深呼吸 し 心 落ち着ける,2,2,2
寝る 直前 軽く 水分補給 行う,2,1,1
朝 楽しい 予定 短時間 立てる,2,1,2
寝る 前 ドラマ 最終 エピソード 見る,0,0,0
布団 入っ 電子書籍 読む,1,1,1
夜遅く 長め シャワー 浴び リフレッシュ する,1,1,1
スマホ 短い 動画 夜更かし し 見る,0,0,0
寝る 前 少量 お酒 一日 締めくくる,1,0,1
寝る 前 メール チェック し 返信 する,1,0,0
クローゼット ある 服 片付け 寝る,1,1,1
リビング 寝 ベッド 移動 する,1,0,0
寝る 直前 気になるニュース 読む,1,0,1
就寝 前 軽い テレビ番組 見る,1,1,1
夜 少量 アルコール 飲む,1,0,1
寝る 2時間前 軽い 食事 とる,1,0,1
夕方 30分 程度 運動 する,2,2,2
寝室 リラックス 音楽 聴く,2,2,2
朝 散歩 積極的 行う,2,2,2
エプソムソルト 使っ 入浴 行う,2,2,2
寝る 前 日記 つける,2,2,2
部屋 整理 整頓 し 寝る,2,2,2
寝る 前 温かい スープ 飲む,2,0,2
寝る 前 楽しい こと 考える,2,2,2
快眠 アプリ 利用 する,2,2,1
夕食 寝る 3時間前 済ませる,2,2,2
寝る 前 チャンツ マントラ 唱える,2,1,2
自然 音 聞く,2,2,2
部屋 香り 豊か アロマ 満たす,2,2,2
手足 マッサージ し リラックス する,2,2,2
ストレス 解消 する ため 軽い 読書 する,2,1,2
寝る 前 少量 ダーク チョコレート 食べる,1,0,1
自分 合っ ピロー トップ 選ぶ,2,2,2
就寝 前 深呼吸 取り入れる,2,2,2
眠り 促す ハーブティー 楽しむ,2,1,2
涼しい 風 取り入れる ため 窓 開ける,2,1,2
友達 楽しい 時間 過ごす,2,2,1
スマートフォン 寝る 1時間前 オフ する,2,2,2
寝室 照明 調整 する,2,2,2
スリープモード 活用 する,2,2,2
温かい パジャマ 選ぶ,2,2,2
寝る 前 香り 高い キャンドル 楽しむ,2,1,2
経絡 マッサージ 試す,2,2,2
朝 ルーティン 決めて 実行 する,2,2,2
バランス 取れ 夕食 楽しむ,2,2,2
穏やか 声 朗読 聞く,2,2,2
瞑想 アプリ リラックス,2,2,2
寝る 前 温かい シャワー 浴びる,2,2,2
スマホ 通知 オン まま 寝る,0,0,0
ネガティブ 内容 メール 寝る 前 確認 する,0,0,0
深夜 重い 食事 摂る,0,0,0
ベッド 映画 マラソン する,0,0,0
寝る 前 オンラインショッピング 購買 欲 満たす,0,0,0
寝る 直前 脂っこい 食べ物 食べる,0,0,0
寝室 テレビ 置く,0,0,0
眠る 直前 カフェイン 入っ 飲み物 飲む,0,0,0
SNS 他人 ネガティブ 投稿 見る,0,0,0
ビデオゲーム 長時間 プレイ する,0,0,0
ストレス 多い 会話 夜遅く する,0,0,0
寝る 前 エネルギー 音楽 聴く,0,0,0
条件 悪い 環境 仕事 続ける,0,0,0
夕食 遅い 時間 摂る,0,1,0
寝室 クローゼット 開けっぱなし する,0,0,1
寝室 窓 閉め切っ 換気 し,0,0,0
寝室 電話 長時間 話す,0,0,0
電子 デバイス 寝る 直前 使用 する,0,0,0
寝る 前 映画 予告編 チェック する,0,0,0
就寝 前 エナジードリンク 飲む,0,0,0
負の感情 抱え まま 眠る,0,0,0
寝る 前 ポップコーン 食べ 映画 見る,0,1,0
深夜 おしゃべり 続ける,0,0,0
ベッド オンラインゲーム する,0,0,0
刺激 的 テレビ番組 寝る 直前 見る,0,0,0
夜遅く 食べ 過ぎる,0,0,0
寝室 明る さ 調整 せ 寝る,0,1,0
深夜 バタ バタ 家事 する,0,0,0
ベッド 旅 動画 見る,0,0,0
寝る 直前 カフェイン 摂取 する,0,0,0
朝方 友達 と長 電話 する,0,0,0
忙しい とき 夜更かし する,0,0,0
寝る 前 ストレス 増す よう プロジェクト 考える,0,0,0
寝室 明かり つい 携帯 置く,0,0,0
寝る 前 辛い 食べ物 食べる,0,0,0
ポップカルチャー 動画 視聴 する,0,0,0
寝る 前 興奮 する よう 動画 見 続ける,0,0,0
日中 いる 場所 ところ いる,0,1,0
寝室 仕事 電話 する,0,0,0
就寝 直前 SNS 会話 する,0,0,0
寝る 前 辛い 食べ物 食べる,0,0,0
夜 9時 以降 入浴,1,1,1
就寝 前 短時間 SNS チェック,1,1,1
昼寝 30分 程度 とる,2,2,2
寝る 前 短い 電話 する,1,1,1
就寝 1時間前 軽い ストレッチ,2,2,2
夕方 以降 緑茶 摂取,0,1,1
寝室 ペット 過ごす,1,1,1
寝る 前 短時間 読書,2,2,2
夕方 カフェオレ,0,0,1
就寝 前 短い 散歩,2,2,2
夜 シャワー,2,1,1
夕食 後 デザート,1,1,1
寝室 穏やか 会話,2,2,1
就寝 前 簡単 家事,1,1,1
夜 軽い ヨガ,2,2,2
夜 温かい 飲み物,2,2,2
就寝 2時間前 ストレッチ,2,2,2
夕方 ウォーキング,2,2,2
寝室 静か 音楽 鑑賞,2,2,2
夜 ハーブティー,2,2,2
寝る 前 軽い 日記 書き,2,2,2
夕食 後 短時間 家族団らん,2,2,1
寝室 穏やか 瞑想,2,2,2
夕方 以降 軽い 庭 仕事,2,1,1
就寝 前 短時間 整理整頓,2,2,1
夜 軽い マッサージ,2,2,2
寝る 前 簡単 計画 立て,2,2,1
夕方 ストレッチ 体操,2,2,2
就寝 前 短い 通話,1,1,1
夜 軽い 読書,2,2,2
夕食 後 短い 散歩,2,2,1
寝室 アロマディフューザー 使用,2,2,1
就寝 前 簡単 振り返り,2,2,2
夜 リラックス ヨガ,2,2,1
夕方 以降 軽い 家事,1,1,2
就寝 前 短時間 テレビ 視聴,1,1,1
寝る 前 簡単 マインドフルネス,2,2,1
快適 睡眠 環境 整える,2,2,1
軽い エクササイズ 夕方 行う,2,2,1
緑茶 寝る 前 飲む,0,0,2
リラックス できる 音楽 選ん 聴く,2,2,2
朝 早く 起き 日光 感じる,2,2,2
し 夜 ルーティン 作る,2,2,2
アロマディフューザー 香り 部屋 広げる,2,2,2
軽い 捕捉 的 散歩 昼休み 取り入れる,2,2,2
ジャズ クラシック音楽 心 落ち着か せる,2,2,2
心地よい 毛布 一緒 過ごす,2,2,1
温かい カモミール ティー 楽しむ,2,2,2
夕食 後 軽い 散歩 する 習慣 つける,2,2,1
寝る 前 感謝 気持ち 思い返す,2,2,1
読書 灯 落ち着い 光 演出 する,2,2,2
明日へ 楽しい 計画 立てる,2,1,1
寝室 湿度 50 60% 保つ,2,2,2
寝る 前 マグネシウム 摂取 する,2,2,1
寝具 季節 合わせ 選ぶ,2,2,2
頭寒足熱 意識 する,2,2,2
就寝 前 セルフ マッサージ 行う,2,2,2
規則正しい 食事 時間 守る,2,2,2
就寝 前 冷たい 飲み物 避ける,2,2,2
寝室 電子機器 置か,2,2,2
布団 定期的 干す,2,2,2
寝る 前 歯磨き 習慣 化 する,2,2,2
寝る 前 リラックス できる ハーブティー 楽しむ,2,2,2
穏やか ヨガ ポーズ 眠り 備える,2,2,2
寝室 心地よい 音楽 流す,2,1,1
マインドフルネス 行う,2,2,2
リラックス できる バスタイム 楽しむ,2,2,2
ソフト 肌触り 良い パジャマ 着る,2,2,2
心 リセット ため 自然 音 聴く,2,2,2
ニュートラル 香り 枕 スプレー 使う,2,1,1
寝る 前 ホット ストーン 使っ リラックス 試す,2,1,1
ストレッチ 軽い マッサージ 筋肉 ほぐす,2,2,2
パートナー 穏やか 会話 一日 振り返る,2,1,2
落ち着い 色合い 寝具 使用 する,2,2,2
寝る 前 心 穏やか する アファメーション 唱える,2,1,2
ラベンダー カモミール 香り 寝室 満たす,2,1,2
肌触り 良い パジャマ 着る,2,1,2
静か 環境 波 音 小鳥 さえずり 自然 音 聴く,2,2,2
寝室 ペット 入れる,0,0,0
夜中 明るい 場所 過ごす,0,0,0
寝る 前 議論 する,0,0,0
就寝 前 重要 決定 する,0,0,0
夜更かし し 動画 見 続ける,0,0,0
寝室 片付け 放置 する,0,0,0
寝る 前 多量 水分 摂取 する,0,1,0
寝る 直前 強い 運動 する,0,0,0
夜遅く エナジードリンク 飲む,0,0,0
寝室 電子メール チェック し 続ける,0,0,0
スマホ ニュース 調べる,0,0,0
ベッド スナック 食べる,0,1,0
夜遅く 熱い 料理 食べる,0,1,0
寝る 前 戦争映画 見る,0,0,0
就寝 前 激しい カフェイン 摂取 する,0,0,0
ビデオ 会議 夜遅く 行う,0,0,0
テレビ つけ まま 寝る,0,0,0
仕事 締切 追わ れ ベッド 入る,0,0,0
ベッド 中 パズルゲーム する,0,0,0
明日 嫌 予定 考え込む,0,0,0
寝る 前 友達 長電話 愚痴 言う,0,0,0
ホラー映画 アクション映画 刺激 強い 映像 見る,0,0,0
寝る 直前 SNS 友人 熱い 議論 交わす,0,0,0
明日 プレゼンテーション 不安 頭 なる,0,0,0
寝る 前 ゲーム 高得点 目指し 熱中 し しまう,0,0,0
怖い話 聞い 読ん する,0,0,0
就寝 前 ラーメン 揚げ物 消化 悪い もの 食べる,0,0,0
大量 アルコール 摂取 し 眠り つく,0,0,0
寝る 直前 激しい 運動 し 交感神経 優位 する,0,0,0
部屋 換気 せ 布団 かぶっ 寝る,0,0,0
室温 低 すぎる 高 すぎる 状態 寝る,0,0,0
部屋 時計 気 なっ しまい 何度 確認 し しまう,1,0,0
外 騒音 光 気 なっ 眠れ,0,0,0
パートナー いびき 寝言 うるさい,0,0,0
ベッド マットレス 体 合わ 寝心地 悪い,0,0,0
寝室 仕事 用 デスク 設置 する,0,0,0
就寝 前 激しい デバッグ 作業 する,0,0,0
寝る 直前 掃除 機 かける,0,0,0
夜中 オンライン ミーティング 行う,0,0,0
夜 軽い ストレッチ,2,2,2
夕食 後 短時間 休憩,2,2,1
就寝 前 簡単 身支度,2,2,2
寝室 静か 音楽,2,2,1
夜 軽い ボディケア,2,2,2
夕方 以降 軽い 運動,2,2,1
就寝 前 短時間 会話,2,2,1
22時 以降 テレビ 視聴,1,1,0
就寝 1時間前 SNS 利用,1,1,0
夜 10時 以降 食事,0,0,0
寝る 前 長め スマートフォン 操作,1,0,0
夕方 以降 複数回 コーヒー 摂取,0,0,0
夜遅く 仕事,0,0,0
就寝 直前 感動 的 映画鑑賞,1,0,0
夜 長時間 オンラインゲーム,0,0,0
寝室 仕事 メール チェック,0,0,0
深夜 SNS 議論,0,0,0
夜遅く 熱い シャワー,1,0,0
就寝 前 重要 決定 事項 検討,1,0,0
夜 過度 情報収集,0,0,0
寝る 前 興奮 する 動画 視聴,1,0,0
夕食 後 大量 甘い 物 摂取,0,0,0
就寝 前 長時間 電話,1,0,0
夜遅く 激しい 筋トレ,0,0,0
寝室 仕事 関連 書類 整理,0,0,0
深夜 オンラインショッピング,1,0,0
就寝 前 複雑 ゲームプレイ,0,0,0
夜 長時間 SNS チェック,0,0,0
寝る 直前 勉強,0,0,0
夜遅く 掃除機 がけ,0,0,0
就寝 前 重要 会話,1,0,0
深夜 ニュース チェック,1,0,0
夜 長時間 ビデオ通話,0,0,0
寝室 プロジェクト 作業,0,0,0
就寝 前 温め ハーブティー 身体 温める,2,2,2
自分 好き 香り アロマオイル マッサージ する,2,2,2
毎晩 時間 ベッド 入り 朝 決まっ 時間 起きる こと 習慣 化 する,2,2,2
朝 起き カーテン 開け 太陽 光 浴び 体内時計 リセット する,2,2,2
休日 平日 時間 起床 する,2,2,2
軽い ストレッチ ヨガ 身体 ほぐし ベッド 入る,2,2,2
就寝 前 1時間 デジタルデトックス 行い リラックス する 時間 作る,2,2,2
トリプトファン 多く 含む 牛乳 バナナ 寝る 前 摂取 する,2,2,2
マグネシウム 多く 含む アーモンド ナッツ類 間食 取り入れる,2,2,2
就寝 前 2時間 食事 避け 消化器官 休ま せる,2,2,2
腸 内 環境 整える ため 発酵食品 食物繊維 積極 的 摂取 する,2,2,2
水分 不足 なら よう 日中 こまめ 水分補給 心掛ける,2,2,2
就寝 前 ラベンダー 香り 楽しむ,2,2,2
寝室 加湿器 設置 する,2,2,2
竹炭 空気 清浄 保つ,2,2,2
足 裏 マッサージ 行う,2,2,2
バイノーラルビート 聴く,2,2,1
就寝 前 腹式呼吸 実践 する,2,2,2
寝室 ピンクソルトランプ 置く,2,1,1
快適 室内 スリッパ 用意 する,2,1,1
寝室 空気 定期的 入れ替える,2,2,2
マインドフルネス 実践 する,2,2,2
就寝 前 ホラーゲーム プレイ する,0,2,0
寝室 洗濯 物 干す,1,0,0
夜中 重要 意思 決定 行う,0,0,0
寝る 直前 家計簿 つける,0,0,0
就寝 前 口論 する,0,0,0
深夜 SNS 政治的 議論 行う,0,0,0
就寝 前 激しい ストレッチ,0,0,0
夜遅く 重い 食事,0,0,0
深夜 ペット 遊び 相手,1,0,0
